SLID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,main_spatial_layer,spatial_layer,Cell_type_composition,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
SL001,human, colon, colon,Colorectal cancer,Colorectal cancer,CRC,Cell co-localization,colocalised adenoma and cancer epithelial cells and Tregs,"Epithelial tumour cells, Tregs",38614865,Spatial and single-cell colocalisation analysis reveals MDK-mediated immunosuppressive environment with regulatory T cells in colorectal carcinogenesis,eBioMedicine,2024,"Spatial transcriptomics, scRNA-seq data","10× Genomics, 10× Genomics",Biological phenotype,Immune Tolerance, induce immune tolerance,clinical samples,immunofluorescence,unknow,protein,"Thus, our results suggested that Treg-colocalised adenoma epithelial cells with high MDK expression not only interact with Tregs to induce immune tolerance and promote cell proliferation but also act on monocytes and stromal cells, thereby initiating TME formation in pathological adenoma."
SL002,human,bladder,bladder,Bladder cancer,Bladder cancer,bladder cancer,Cellular neighbourhoods,C1 (epithelial and basal cells),"Epithelial cells, Basal cells",37488671,Integrated single-cell and spatial transcriptomic profiling reveals higher intratumour heterogeneity and epithelial–fibroblast interactions in recurrent bladder cancer,clinical and translational medicine,2023,Spatial transcriptome,10× Genomics,Biological phenotype,Tumor Recurrence,Tumor Recurrence,clinical samples,multiplex immunofluorescence,Akoya,protein,"Interestingly, spatially proximal differential analysis of cell types revealed that the interaction between C1 (epithelial and basal cells) and C0 (NK and T cells) was enhanced in the recurrent group as opposed to the primary group (Figure 3A and Table S5), while the con tent and ratio versus total spots of both C1 and C0 were lower in the recurrent group.
We confirmed the upregulated colocalisation of epithelial cells, keratinocytes and basal cells (Figure 3D,F) with NK and CD8+ T cells in the recurrent group, implying more complex tumour microenvironments in the recurrent group.
Quantitative analysis was also performed to show the difference in colocalisation of NK/T and epithelial/basal cells between primary and recurrent groups (Figure 4D,E). Overall, these immunofluorescence results further demonstrated the increased immune complexity in recurrent tumours. "
SL003,human,bladder,bladder,Bladder cancer,Bladder cancer,bladder cancer,Cellular neighbourhoods,C0 (NK and T cells),"NK cells, T cells",37488671,Integrated single-cell and spatial transcriptomic profiling reveals higher intratumour heterogeneity and epithelial–fibroblast interactions in recurrent bladder cancer,clinical and translational medicine,2023,Spatial transcriptome,10× Genomics,Biological phenotype,Tumor Recurrence,Tumor Recurrence,clinical samples,multiplex immunofluorescence,Akoya,protein,"Interestingly, spatially proximal differential analysis of cell types revealed that the interaction between C1 (epithelial and basal cells) and C0 (NK and T cells) was enhanced in the recurrent group as opposed to the primary group (Figure 3A and Table S5), while the con tent and ratio versus total spots of both C1 and C0 were lower in the recurrent group.
We confirmed the upregulated colocalisation of epithelial cells, keratinocytes and basal cells (Figure 3D,F) with NK and CD8+ T cells in the recurrent group, implying more complex tumour microenvironments in the recurrent group.
Quantitative analysis was also performed to show the difference in colocalisation of NK/T and epithelial/basal cells between primary and recurrent groups (Figure 4D,E). Overall, these immunofluorescence results further demonstrated the increased immune complexity in recurrent tumours. "
SL004,human,bladder,bladder,Bladder cancer,Bladder cancer,Bladder Ewing sarcoma/primitive neuroectodermal tumor (bladder ES/PNET),Cell co-localization,interaction between bladder ES-Epi and bladder ES-Mast cells,"Bladder ES-Mast cells, bladder ES-Epi cells",39386756,Single-cell RNA sequencing and spatial transcriptomics of bladder Ewing sarcoma,iScience,2024,"Single-cell RNA-sequencing, spatial transcriptomic","10X Genomics, 10X Genomics",Biological phenotype,Tumor Invasion,Invasion,clinical samples,"multiple immunoflfluorescence, Functional experiments",unknow,protein,"The investigation identified the ‘‘TNFSF12-TNFRSF12A’’ ligand-receptor pair as notably present in bladder ES-Epi/bladder→ES-Mast cells compared with the relationships between bladder ES-Epi and the other two mast cell subclusters (Figure 6N).
9 Initial assessment of TNFRSF12A expression in BLCA revealed its overexpression in tumors, with higher expression associated with advanced pathological staging and a poorer prognosis (Figure S8).
Subsequent examination of TNFRSF12A expression in bladder ES/PNET and BLCA tissue samples revealed significant overexpression in bladder ES/ PNET (Figure 6P).
Additionally, multiple immunofluorescence staining results showed that the tumor-associated mast cell marker gene TPGS2 co-localized with TNFSF12, and the tumor-associated epithelial cell marker gene INHBC co-localized with TNFRSF12A (Figure S10)
Functional experiments suggested that exogenous TNFRSF12 significantly enhanced the migration abilities of the ES cell line RD-ES and BLCA cell line T24, as well as the angiogenesis ability of RD-ES, while Enavatuzumab exerts the opposite function (Figures 6Q, S11A, and S11B)
Finally, spatial analysis results revealed mutual interactions between mast cells and epithelial cells, with TNFSF12-TNFRSF12A interactions occurring at the spatial level (Figure 6R). "
SL005,Human,Brain,Brain,Brain cancer,Glioblastoma,Glioblastoma ,Spatial niche,Peri-necrotic regions,"Hypoxia-TAM(defined as ADM+/Galectin-3+ Mo-TAMs), endothelial cells",38640932,Identification of hypoxic macrophages in glioblastoma with therapeutic potential for vasculature normalization.,Cancer Cell,2024,Spatial transcriptome,10× Genomics,Clinical phenotype,Drug Response,Dampen drug delivery,"clinical samples, mouse model","Intravital imaging, Multiplex immunostaining","Zeiss 780 multiphoton microscope
Opal Polaris 7 Color Automation IHC Detection Kit (AKOYA)","protein,mouse","Genetic ablation or pharmacological blockade of adrenomedullin produced by Hypoxia-TAM restores vascular integrity, improves intratumoral concentration of the anti-tumor agent dabrafenib, and achieves combinatorial therapeutic benefits
 Co-staining for ADM and the Mo-TAM marker galectin-316 confirmed the proximity of Hypoxia-TAM (defined as ADM+/Galectin-3+ Mo-TAMs) to the pseudo-palisading necrotic areas in hGBM tissues
AMA administration with dabrafenib achieved combinatorial therapeutic benefits in extending animal survival (Figure 8D) and reducing tumor burden "
SL006,human,brain,brain,Brain cancer,Brain cancer,"primary brain 
tumours or BrM",Spatial niche,a unique macrophage-enriched neighbourhood,MPO-positive macrophages,36725935,Single-cell spatial immune landscapes of primary and metastatic brain tumours,nature,2023,IMC,unknow,Clinical phenotype,Overall Survival, improved survival,clinical samples,immunohistofluorescence co-staining,unknow,protein,"We compared the proportion of cells representing each CN within a given tumour sample, and found that LTS tumours had significantly higher representation of macrophage-enriched CN7 than STS tumours (Fig. 3d). Moreover, using this refined cohort, we confirmed the association between CN7 and improved survival (Fig. 3e and Extended Data Fig. 9g).
In comparing the relative representation of CL1–3 across each CN (Fig. 3b), we observed an enrichment in CN7 specifically in patients with LTS tumours (Fig. 3i). Together, these data indicate that macrophage spatial relationships may contain critical prognostic information, as we have identified a unique macrophage-enriched neighbourhood associated with long-term survival—a rarity in this disease.
To test the practicality of our findings using a lower-plex technology, we performed immunohistofluorescence co-staining for MPO and IBA1 to evaluate survival outcomes in a cohort of 135 patients with glioblastoma. As the vast majority (83.96%) of MPO+ macrophages are CD163− and P2Y12− (Extended Data Fig. 10a), the combination of MPO with IBA1 was sufficient to confirm significantly prolonged survival in patients with high frequencies of double-positive cells (Fig. 4h)."
SL007,human,brain,brain,Brain cancer,Glioblastoma,glioblastoma,Cellular neighbourhoods,Spatially clustered glioblastoma subcluster 6 and M2 TAMs distribution,Glioblastoma subcluster 6 (CEBPB+) cells and M2 TAMs,38994023,The CEBPB+ glioblastoma subcluster specifically drives the formation of M2 tumor-associated macrophages to promote malignancy growth,Theranostics,2024,Cell culture,Gibco,Biological phenotype,Tumor Growth,Tumor growth,"clinical samples, mouse model",mouse models,NA,mouse,"Nonetheless, the results of high-throughput sequencing suggest a positive correlation between the high expression of CEBPB in GBM subcluster 6 and M2 TAMs.
Subsequent Transwell cell migration assays demonstrated that conditioned medium (CM) from GBM cells overexpressing CEBPB significantly enhanced the migration of M0 macrophages (PMA-primed U937 cells). (Figure 5D-F).
Interestingly, following prolonged exposure (3 days) of M0 macrophages to conditioned media from GBM cells overexpressing CEBPB, the expression of M2-like markers CD206, CD163, and ARG1 sharply increased. In contrast, this trend was notably diminished upon exposure to conditioned media from CEBPB-depleted GBM cells, while there was no change in the expression of M1-like markers (iNOS, TNFα, and CD80) (Figure 5G-I, Figure S13D). These results suggest that the genes regulated by CEBPB might encompass factors involved in M2 polarization of macrophages.
These findings suggest that CEBPB is also implicated in TAMs recruitment and M2 polarization in vivo. The subsequent in vivo experiment demonstrated that the depletion of CEBPB in transplanted glioma cells visually reduced the growth of the tumors and extended the survival time of the mice bearing glioma cells (Figure 6F-H, Figure S13E-G). "
SL008,human,brain,brain,Brain cancer,Glioblastoma,glioblastoma,Cell co-localization,"Co-localization of CEBPB, SPP1, Integrin αvβ1, and M2 macrophages in their spatial distribution",Glioblastoma subcluster 6 (CEBPB+) cells and M2 TAMs,38994023,The CEBPB+ glioblastoma subcluster specifically drives the formation of M2 tumor-associated macrophages to promote malignancy growth,Theranostics,2024,"spatial transcriptomics, multiplex immunofluorescence","GEO(GSE235672), Abcam",Clinical phenotype,Overall Survival,Shorter survival,"clinical samples, mouse model",survivsl analysis,analysis,clinical data,"Consistent with our previous findings on intercellular communication, we observed co-localization of CEBPB, SPP1, Integrin αvβ1, and M2 macrophages in their spatial distribution (Figure 8G).
We discovered that inhibiting SPP1 reversed the tumor progression and extended survival times caused by the overexpression of CEBPB in vivo (Figure 8J-K), which was associated to change the number of SPP1/Integrin αvβ1/phosphorylated-Akt-positive M2 TAMs in the xenograft tumors (Figure 8L-M, Figure S16).
Clinically, simultaneous high expression of CEBPB, SPP1, and Integrin αvβ1 not only leads to a high enrichment of M2 TAMs in GBM tissues but also significantly shortens the lifespan of GBM patients (Figure 8N-O, Figure S15D-E). "
SL009,human,brain,brain,Brain cancer,Glioblastoma,Glioblastomas,Cellular neighbourhoods,overlap between exhausted T cells and HMOX1+ myeloid cells,"HMOX1+ myeloid cells, CD8+ T cells",35177622,T-cell dysfunction in the glioblastoma microenvironment is mediated by myeloid cells releasing interleukin-10,nature communication,2022,Spatial transcriptomics,10×Genomics,Biological phenotype,Immune Suppression,immunosuppressive,clinical samples,human neocortical GBM model,NA,"Protein, human model","spatially resolved and single-cell gene expression data of 45,615 immune cells from 12 tumor samples, that a subset of Interleukin-10-releasing HMOX1+ myeloid cells, spatially localizing to mesenchymal-like tumor regions, drive T-cell exhaustion and thus contribute to the immunosuppressive tumor microenvironment.
We found that myeloid cells from two clusters (aMΦ, bMΦ, Supplementary Fig. 5), characterized by the expression of tumor-associated macrophage genes (CD163, CCL4, APOE, and HLA-DRA) were strongly connected to the CD8+ exhausted and CD4+ Th1 T cell clusters.
To further validate potential interactions between the myeloid–lymphoid compartment, we isolated CD3+ IBA1+ (gene: CD3D and AIF1) doublets from our dataset, Fig. 5h.
When comparing the gene expression profile of our top connected cell pairs (Ligand cells: Myeloid cells; Receiver cells: T cells) with the CD3+ IBA1+ doublets, a strong expression of both CD163 and HMOX1 was observed, Fig. 5j underpinning the observation that physically connected cells mainly arise from our identified CD163+HMOX1+ myeloid subpopulation, Fig. 5k.
This was carried out by reconstructing the spatial juxtaposition, where we found HMOX1+ IBA1+ microglia were present in close proximity to a tumor (p < 0.023) and T cells (p < 0.001), compared to HMOX1− IBA1+ microglia, Fig. 6c. "
SL010,human,brain,brain,Brain cancer,Glioblastoma,Glioblastoma (GBM),Cellular neighbourhoods,"CAFs were enriched in the perivascular niche where glioblastoma stem cells (GSCs) reside, based on their proximity to endothelial cells","Cancer-associated fibroblasts (CAFs), Glioblastoma stem cells (GSCs), Endothelial cells",36856115,Single-cell RNA sequencing and spatial transcriptomics reveal cancer-associated fibroblasts in glioblastoma with protumoral effects,The Journal of Clinical Investigation,2023,Spatial transcriptomics,NA,Biological phenotype,Tumor Growth,Tumor growth,"clinical samples, mouse model",mouse models,NA,mouse,"Spatial transcriptomics from 16 patient glioblastomas confirmed CAF proximity to mesenchymal glioblastoma stem cells (GSCs), endothelial cells, and M2 macrophages.
Supplementing GSC-derived xenografts with CAFs enhanced in vivo tumor growth.
Based on our spatial transcriptomics results (Figure 2, E–H), we hypothesized that GSCs may recruit CAFs to the perivascular niche of GBM.
Including CAFs with neurospheres enabled tumor growth to reach end point in most mice, which did not occur without CAFs (P = 0.03; Figure 7A), revealing that the tumor-promoting effects of 
CAFs on GSCs that we noted in culture also occurred in vivo. "
